id0minerGinvalid0 id1miner1invalid0
id1miner1invalid0 id2miner1invalid1
id1miner1invalid0 id3miner0invalid0
id1miner1invalid0 id4miner2invalid0
id1miner1invalid0 id5miner3invalid0
id2miner1invalid1 id7miner1invalid0
id5miner3invalid0 id6miner3invalid0
id6miner3invalid0 id8miner3invalid0
id6miner3invalid0 id9miner0invalid0
id6miner3invalid0 id10miner9invalid0
id8miner3invalid0 id14miner3invalid0
id9miner0invalid0 id11miner0invalid0
id9miner0invalid0 id12miner2invalid0
id9miner0invalid0 id13miner8invalid0
id10miner9invalid0 id15miner9invalid0
id13miner8invalid0 id18miner8invalid0
id14miner3invalid0 id16miner3invalid0
id14miner3invalid0 id17miner1invalid1
id17miner1invalid1 id20miner1invalid0
id18miner8invalid0 id19miner8invalid0
id18miner8invalid0 id21miner2invalid0
id18miner8invalid0 id23miner9invalid0
id20miner1invalid0 id22miner1invalid0
